"column_header";"table";"raw_table";"variable";"column_description";"column_unit";"std_header";"header_fun";"header_fun_args";"std_description";"std_unit";"code_mappings";"values_fun";"values_fun_args";"comments"
"EXP_NAME";"EXPERIMENTS";".";"EXP_NAME";"";"";"EXP_NAME";"";"";"";"";"";"";"";""
"PERSONS";"EXPERIMENTS";".";"PERSONS";"";"";"PERSONS";"";"";"";"";"";"";"";""
"ADDRESS";"EXPERIMENTS";".";"ADDRESS";"";"";"ADDRESS";"";"";"";"";"";"";"";""
"NOTES";"EXPERIMENTS";".";"NOTES";"";"";"NOTES";"";"";"";"";"";"";"";""
"SOIL_ID";"EXPERIMENTS";NA;NA;"";"";"SOIL_ID";"";"";"";"";"";"";"";"new variable"
"WEATHER_ID";"EXPERIMENTS";NA;NA;"";"";"WID";"";"";"";"";"";"";"";"new variable"
"Versuchsaufbau_ID";"EXPERIMENTS";".";"Versuchsaufbau_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"EXPERIMENTS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"Bewaesserung";"EXPERIMENTS";".";"Bewaesserung";"";"";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur";"EXPERIMENTS";"KULTUR";"Kultur";"Name of cultivated crop";"text";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur_Botanisch";"EXPERIMENTS";"KULTUR";"Kultur_Botanisch";"Botanical name of cultivated crop";"text";"";"";"";"";"";"";"";"";""
"KULTUR.Kultur_Englisch";"EXPERIMENTS";"KULTUR";"Kultur_Englisch";"English name of cultivated crop";"text";"CRID";"";"";"";"code";"list('Potato: POT', 'Winter wheat: WHT', 'Sugar beet: SBT', 'Spring barley: BAR', 'Winter barley: BAR', 'Maize: MAZ')";"";"";""
"KULTUR.Icc_Code";"EXPERIMENTS";"KULTUR";"Icc_Code";"ICC-Code of the cultivated crop (FAO)";"code";"";"";"";"";"";"";"";"";""
"PARZELLE.Hoehenlage_Min";"EXPERIMENTS";"PARZELLE";"Hoehenlage_Min";"Lowest altitude within the trial area";"m";"";"";"";"";"m";"";"";"";""
"PARZELLE.Hoehenlage_Max";"EXPERIMENTS";"PARZELLE";"Hoehenlage_Max";"Highest altitude within the trial area";"m";"";"";"";"";"m";"";"";"";""
"PARZELLE.Beginn";"EXPERIMENTS";"PARZELLE";"Beginn";"Start of experiment";"yyyy";"";"";"";"";"";"";"";"";""
"PARZELLE.Ende";"EXPERIMENTS";"PARZELLE";"Ende";"End of experiment (keep empty if still running)";"yyyy";"";"";"";"";"";"";"";"";""
"PARZELLE.City";"EXPERIMENTS";"PARZELLE";"City";"";"";"";"";"";"";"";"";"";"";""
"FL_LON";"EXPERIMENTS";".";"FL_LON";"";"";"FL_LON";"";"";"";"";"";"";"";""
"FL_LAT";"EXPERIMENTS";".";"FL_LAT";"";"";"FL_LAT";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"EXPERIMENTS";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"ICPCR";"EXPERIMENTS";NA;NA;"";"";"ICPCR";"";"";"Residue, crop code for previous crop";"code";"list('Potato: POT', 'Winter wheat: WHT', 'Sugar beet: SBT', 'Spring barley: BAR', 'Winter barley: BAR', 'Maize: MAZ')";"";"";"new variable"
"FLELE";"EXPERIMENTS";NA;NA;NA;"m";"FLELE";"";"";"";"m";"";"function(x, y){ mean(x, y) }";"x=Hoehenlage_Min; y=Hoehenlage_Max";"new_variable"
"TRTNO";"TREATMENTS";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"Versuchsjahr";"TREATMENTS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRT_NAME";"TREATMENTS";NA;NA;NA;"text";"TRT_NAME";"";"";"";"text";"";"function(x, y){ paste(x, y, sep =  | ) }";"x=FAKTOR1_STUFE.Beschreibung ; y=FAKTOR2_STUFE.Beschreibung";"new variable"
"FAKTOR1_STUFE.Name";"TREATMENTS";"FAKTOR1_STUFE";"Name";"Name of the levels of fac1or 2";"text";"";"";"";"";"";"";"";"";""
"FAKTOR1_STUFE.Beschreibung";"TREATMENTS";"FAKTOR1_STUFE";"Beschreibung";"Description of the levels of factor 1";"text";"";"";"";"";"text";"";"";"";""
"FAKTOR.Name.x";"TREATMENTS";"FAKTOR";"Name";"Name of factor 1";"text";"";"";"";"";"";"";"";"";""
"FAKTOR2_STUFE.Name";"TREATMENTS";"FAKTOR2_STUFE";"Name";"Name of the levels of factor 2";"text";"";"";"";"";"";"";"";"";""
"FAKTOR2_STUFE.Beschreibung";"TREATMENTS";"FAKTOR2_STUFE";"Beschreibung";"Description of the levels of factor 2";"text";"";"";"";"";"text";"";"";"";""
"FAKTOR.Name.y";"TREATMENTS";"FAKTOR";"Name";"Name of factor 2";"text";"";"";"";"";"";"";"";"";""
"AU_ID";"TREATMENTS";".";"AU_ID";"";"";"PL";"";"";"";"";"";"";"";""
"BE_ID";"TREATMENTS";".";"BE_ID";"";"";"IR";"";"";"";"";"";"";"";""
"BE_ID";"TREATMENTS";".";"BE_ID";"";"";"";"";"";"";"";"";"";"";""
"BO_ID";"TREATMENTS";".";"BO_ID";"";"";"TI";"";"";"";"";"";"";"";""
"BO_ID";"TREATMENTS";".";"BO_ID";"";"";"";"";"";"";"";"";"";"";""
"PF_ID";"TREATMENTS";".";"PF_ID";"";"";"";"";"";"";"";"";"";"";""
"FL_ID";"TREATMENTS";".";"FL_ID";"";"";"";"";"";"";"";"";"";"";""
"HA_ID";"TREATMENTS";NA;NA;"";"";"HA";"";"";"";"";"";"";"";"new variable"
"CU_ID";"TREATMENTS";NA;NA;"";"";"GE";"";"";"";"";"";"";"";"new variable"
"FE_ID";"TREATMENTS";NA;NA;"";"";"FE";"";"";"";"";"";"";"";"new variable"
"OM_ID";"TREATMENTS";NA;NA;"";"";"OM";"";"";"";"";"";"";"";"new variable"
"BO_ID";"TILLAGE";".";"BO_ID";"";"";"TI";"";"";"";"";"";"";"";""
"BO_ID";"TILLAGE";".";"BO_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"TILLAGE";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"BODENBEARBEITUNG.Termin";"TILLAGE";"BODENBEARBEITUNG";"Termin";"Date of tillage";"date";"TDATE";"";"";"";"date";"";"";"";""
"BODENBEARBEITUNG.Tiefe";"TILLAGE";"BODENBEARBEITUNG";"Tiefe";"Tillage depth in cm";"cm";"TIDEP";"";"";"";"cm";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"TILLAGE";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"BODENBEARBEITUNG_MASSNAHME.Massnahme";"TILLAGE";"BODENBEARBEITUNG_MASSNAHME";"Massnahme";"Name of tillage";"text";"TI_NAME";"";"";"";"text";"";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"TILLAGE";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"TILLAGE";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";"TILLAGE";"TECHNIK";"Arbeitsbreite";"Working width of the agricultural machine (in m)";"m";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";"TILLAGE";"TECHNIK";"Reihenabstand";"Row distance (in cm)";"cm";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";"TILLAGE";"TECHNIK";"Reihenanzahl";"Number of aggregates, e.g. drill rows per drill equipment";"number";"";"";"";"";"";"";"";"";""
"AU_ID";"PLANTINGS";".";"AU_ID";"";"";"PL";"";"";"";"";"";"";"";""
"Versuchsjahr";"PLANTINGS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"AUSSAAT.Termin";"PLANTINGS";"AUSSAAT";"Termin";"Date of sowing";"date";"PLDATE";"";"";"";"date";"";"";"";""
"AUSSAAT.Termin_Aufgang";"PLANTINGS";"AUSSAAT";"Termin_Aufgang";"Date of field emergence";"date";"EDATE";"";"";"";"date";"";"";"";""
"AUSSAAT.Saatstaerke_kg_ha";"PLANTINGS";"AUSSAAT";"Saatstaerke_kg_ha";"Total mass of seeded grains in kg per hectare";"kg/ha";"PLMWT";"";"";"";"kg/ha";"";"";"";""
"AUSSAAT.Reihenabstand";"PLANTINGS";"AUSSAAT";"Reihenabstand";"Row distance in cm";"cm";"PLRS";"";"";"";"cm";"";"";"";""
"AUSSAAT.Pflanzenabstand";"PLANTINGS";"AUSSAAT";"Pflanzenabstand";"Distance of plants within the row in cm (added)";"cm";"PLSP";"";"";"";"cm";"";"";"";""
"AUSSAAT.Keimfaehige_Koerner";"PLANTINGS";"AUSSAAT";"Keimfaehige_Koerner";"Number of germinable seeds per m² (grain, corn, beet) and per hectare (potatos)";"*number/m2";"PLPOP";"";"";"";"number/m2";"";"";"";""
"Kultur_ID";"PLANTINGS";".";"Kultur_ID";"";"";"";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"PLANTINGS";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Technik";"PLANTINGS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"PLANTINGS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"PLANTINGS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"PLANTINGS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"PLANTINGS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"PLANTINGS";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";"PLANTINGS";"TECHNIK";"Arbeitsbreite";"Working width of the agricultural machine (in m)";"m";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";"PLANTINGS";"TECHNIK";"Reihenabstand";"Row distance (in cm)";"cm";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";"PLANTINGS";"TECHNIK";"Reihenanzahl";"Number of aggregates, e.g. drill rows per drill equipment";"number";"";"";"";"";"";"";"";"";""
"CU_ID";"CULTIVARS";NA;NA;"";"";"GE";"";"";"";"";"";"";"";"new variable"
"Versuchsjahr";"CULTIVARS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRTNO";"CULTIVARS";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"SORTE.Sorte";"CULTIVARS";"SORTE";"Sorte";"Name of variety";"text";"CUL_ORIG";"";"";"";"text";"";"";"";""
"SORTE.Bsa_Code";"CULTIVARS";"SORTE";"Bsa_Code";"BSA-Code";"code";"";"";"";"";"";"";"";"";""
"FE_ID";"FERTILIZERS";NA;NA;"";"";"FE";"";"";"";"";"";"";"";"new variable"
"Versuchsjahr";"FERTILIZERS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"DUENGUNG.Termin";"FERTILIZERS";"DUENGUNG";"Termin";"Date of fertilization";"date";"*cond";"function(df) { if(df$Mineralisch==1, FEDATE, OMDAT }";"df=DUENGUNG";"";"date";"";"";"";""
"DUENGUNG.Stickstoff_min";"FERTILIZERS";"DUENGUNG";"Stickstoff_min";"Mass of nitrogen (kg per hectare, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMN";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Phosphor";"FERTILIZERS";"DUENGUNG";"Phosphor";"Mass of phosphorus (kg per ha, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMP";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Kalium";"FERTILIZERS";"DUENGUNG";"Kalium";"Mass of potassium (kg per ha, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMK";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Kalzium";"FERTILIZERS";"DUENGUNG";"Kalzium";"Amount of calcium (kg per hectare, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMC";"";"";"";"kg/ha";"";"";"";""
"DUENGEMITTEL.Name";"FERTILIZERS";"DUENGEMITTEL";"Name";"Name of fertilizer";"text";"*cond";"function(df) { if(df$Mineralisch==1, FEACD, OMACD }";"df=DUENGUNG";"Fertilizer material";"code";"list('Branntkalk: FE621', 'Kalkammonsalpeter: FE041', 'Mg-Mergel 45%: FE900', 'Superphosphat, 40%iges Kali: FE013', 'Superphosphat, 40%iges Kali, Kalkmergel: FE013', 'Superphosphat, Kamex: FE013')";"";"";""
"TECHNIK.Technik";"FERTILIZERS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"FERTILIZERS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"FERTILIZERS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"FERTILIZERS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"FERTILIZERS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"FERTILIZERS";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"OM_ID";"ORGANIC_MATERIALS";NA;NA;"";"";"OM";"";"";"";"";"";"";"";"new variable"
"Versuchsjahr";"ORGANIC_MATERIALS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"DUENGUNG.Termin";"ORGANIC_MATERIALS";"DUENGUNG";"Termin";"Date of fertilization";"date";"*cond";"function(df) { if(df$Mineralisch==1, FEDATE, OMDAT }";"df=DUENGUNG";"";"date";"";"";"";""
"DUENGUNG.Stickstoff_org";"ORGANIC_MATERIALS";"DUENGUNG";"Stickstoff_org";"Mass of nitrogen (kg per hectare, pure nutrient) which was applied to the plot with organic fertilizer";"kg/ha";"";"";"";"";"";"";"";"";""
"DUENGUNG.Kalzium";"ORGANIC_MATERIALS";"DUENGUNG";"Kalzium";"Amount of calcium (kg per hectare, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMC";"";"";"";"kg/ha";"";"";"";""
"DUENGEMITTEL.Name";"ORGANIC_MATERIALS";"DUENGEMITTEL";"Name";"Name of fertilizer";"text";"*cond";"function(df) { if(df$Mineralisch==1, FEACD, OMACD }";"df=DUENGUNG";"Fertilizer material";"code";"list('Branntkalk: FE621', 'Kalkammonsalpeter: FE041', 'Mg-Mergel 45%: FE900', 'Superphosphat, 40%iges Kali: FE013', 'Superphosphat, 40%iges Kali, Kalkmergel: FE013', 'Superphosphat, Kamex: FE013')";"";"";""
"TECHNIK.Technik";"ORGANIC_MATERIALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"ORGANIC_MATERIALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"ORGANIC_MATERIALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"ORGANIC_MATERIALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"ORGANIC_MATERIALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"ORGANIC_MATERIALS";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"BE_ID";"IRRIGATION";".";"BE_ID";"";"";"IR";"";"";"";"";"";"";"";""
"BE_ID";"IRRIGATION";".";"BE_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"IRRIGATION";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"BEREGNUNG.Termin";"IRRIGATION";"BEREGNUNG";"Termin";"Date of irrigation";"date";"IDATE";"";"";"";"date";"";"";"";""
"BEREGNUNG.Menge";"IRRIGATION";"BEREGNUNG";"Menge";"Amount of irrigation";"mm";"IRVAL";"";"";"";"mm";"";"";"";""
"PF_ID";"CHEMICALS";".";"PF_ID";"";"";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"CHEMICALS";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"PFLANZENSCHUTZ.Termin";"CHEMICALS";"PFLANZENSCHUTZ";"Termin";"Date of plant protection measure";"date";"CDATE";"";"";"";"date";"";"";"";""
"Kultur_ID";"CHEMICALS";".";"Kultur_ID";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Menge";"CHEMICALS";"PFLANZENSCHUTZ";"Menge";"Amount of applied plant protection. The unit differs according to the used product.";"*kg/ha";"CHAMT";"";"";"";"kg/ha";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"CHEMICALS";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"INDIKATION.Indikation";"CHEMICALS";"INDIKATION";"Indikation";"Description of indication";"text";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ_MITTEL.Name";"CHEMICALS";"PFLANZENSCHUTZ_MITTEL";"Name";"Name of plant protection product";"text";"*CHCD";"";"";"";"code";"list('80% Maneb: CH054', '380 g/l Dimethoat: CH024', '50% Benomyl: CH052', '50% Metalaxyl + 80% Zineb: CH053', '600 g/l 2,4-D: CH006', '90% 2,4-D: CH006', '375 g/l Dichlorprop + 125 g/l MCPA: CH005', '250 g/l Propiconazol: CH056', '500 g/l MCPA: CH005', '7% Parathion-methyl: CH033', '7% Parathion: CH032', '80% Zineb: CH053', '90% Zineb: CH053')";"function(x, y){ paste(x, y, sep =  | ) }";"x=PFLANZENSCHUTZ_MITTEL.Name ; y=PFLANZENSCHUTZ_MITTEL.Wirkstoff";"perhaps merge with Wirkstoff as ICASA codes for chemicals are consistently either product or active substance"
