"column_header";"table";"raw_table";"variable";"column_description";"column_unit";"std_header";"header_fun";"header_fun_args";"std_description";"std_unit";"code_mappings";"values_fun";"values_fun_args";"comments"
"PFLANZENSCHUTZ_MITTEL.Wirkstoff";"CHEMICALS";"PFLANZENSCHUTZ_MITTEL";"Wirkstoff";"Active substance in the plant protection product";"text";"CHCD";"";"";"";"code";"list('80% Maneb: CH054', '380 g/l Dimethoat: CH024', '50% Benomyl: CH052', '50% Metalaxyl + 80% Zineb: CH053', '600 g/l 2,4-D: CH006', '90% 2,4-D: CH006', '375 g/l Dichlorprop + 125 g/l MCPA: CH005', '250 g/l Propiconazol: CH056', '500 g/l MCPA: CH005', '7% Parathion-methyl: CH033', '7% Parathion: CH032', '80% Zineb: CH053', '90% Zineb: CH053')";"function(x, y){ paste(x, y, sep =  | ) }";"x=PFLANZENSCHUTZ_MITTEL.Name ; y=PFLANZENSCHUTZ_MITTEL.Wirkstoff";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"CHEMICALS";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"CHEMICALS";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";"CHEMICALS";"TECHNIK";"Arbeitsbreite";"Working width of the agricultural machine (in m)";"m";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";"CHEMICALS";"TECHNIK";"Reihenabstand";"Row distance (in cm)";"cm";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";"CHEMICALS";"TECHNIK";"Reihenanzahl";"Number of aggregates, e.g. drill rows per drill equipment";"number";"";"";"";"";"";"";"";"";""
"Versuchsjahr";"OBSERVED_Summary";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRTNO";"OBSERVED_Summary";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Glucose";"OBSERVED_Summary";"BODENBIOLOGIE";"Glucose";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Katalase";"OBSERVED_Summary";"BODENBIOLOGIE";"Katalase";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_juv";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_juv";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_adult";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_adult";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Zahl_ges";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Zahl_ges";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_juv";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Biomasse_juv";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_adult";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Biomasse_adult";"";"";"";"";"";"";"";"";"";"";""
"BODENBIOLOGIE.Regenwurm_Biomasse_ges";"OBSERVED_Summary";"BODENBIOLOGIE";"Regenwurm_Biomasse_ges";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Aufgang";"OBSERVED_Summary";"BONITUR";"Aufgang";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Ueberwinterung";"OBSERVED_Summary";"BONITUR";"Ueberwinterung";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Jugendentwicklung";"OBSERVED_Summary";"BONITUR";"Jugendentwicklung";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Reihenschliessen";"OBSERVED_Summary";"BONITUR";"Reihenschliessen";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Aehrenschieben";"OBSERVED_Summary";"BONITUR";"Aehrenschieben";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Bluehbeginn";"OBSERVED_Summary";"BONITUR";"Bluehbeginn";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Allg_Eindruck";"OBSERVED_Summary";"BONITUR";"Allg_Eindruck";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Standfestigkeit";"OBSERVED_Summary";"BONITUR";"Standfestigkeit";"";"";"";"";"";"";"";"";"";"";""
"BONITUR.Gelbreife";"OBSERVED_Summary";"BONITUR";"Gelbreife";"";"";"";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen.x";"OBSERVED_Summary";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BODENLABORWERTE.Trockenrohdichte";"OBSERVED_Summary";"BODENLABORWERTE";"Trockenrohdichte";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Porenvolumen";"OBSERVED_Summary";"BODENLABORWERTE";"Porenvolumen";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Grobporen";"OBSERVED_Summary";"BODENLABORWERTE";"Grobporen";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.kF";"OBSERVED_Summary";"BODENLABORWERTE";"kF";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.NO3_N";"OBSERVED_Summary";"BODENLABORWERTE";"NO3_N";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.NH4_N";"OBSERVED_Summary";"BODENLABORWERTE";"NH4_N";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Nmin";"OBSERVED_Summary";"BODENLABORWERTE";"Nmin";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Nt";"OBSERVED_Summary";"BODENLABORWERTE";"Nt";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Nhwl";"OBSERVED_Summary";"BODENLABORWERTE";"Nhwl";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Cmik";"OBSERVED_Summary";"BODENLABORWERTE";"Cmik";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Ct";"OBSERVED_Summary";"BODENLABORWERTE";"Ct";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Chwl";"OBSERVED_Summary";"BODENLABORWERTE";"Chwl";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.CN_Verhaeltnis";"OBSERVED_Summary";"BODENLABORWERTE";"CN_Verhaeltnis";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.pH";"OBSERVED_Summary";"BODENLABORWERTE";"pH";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.P";"OBSERVED_Summary";"BODENLABORWERTE";"P";"";"";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.K";"OBSERVED_Summary";"BODENLABORWERTE";"K";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.P2O5";"OBSERVED_Summary";"PFLANZENLABORWERTE";"P2O5";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.K2O";"OBSERVED_Summary";"PFLANZENLABORWERTE";"K2O";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.N";"OBSERVED_Summary";"PFLANZENLABORWERTE";"N";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Ertrag_Staerke";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Ertrag_Staerke";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Gehalt_Staerke";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Gehalt_Staerke";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Gehalt_Zucker";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Gehalt_Zucker";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Blauzahl";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Blauzahl";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Loesl_Trockensubstanz";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Loesl_Trockensubstanz";"";"";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Loesl_Asche";"OBSERVED_Summary";"PFLANZENLABORWERTE";"Loesl_Asche";"";"";"";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen.y";"OBSERVED_Summary";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"HA_type";"OBSERVED_TimeSeries";NA;NA;"";"";"";"";"";"";"";"";"";"";"new variable"
"Versuchsjahr";"OBSERVED_TimeSeries";".";"Versuchsjahr";"Experimental year (=year of (scheduled) harvest)";"yyyy";"Year";"";"";"";"yyyy";"";"";"";""
"TRTNO";"OBSERVED_TimeSeries";".";"TRTNO";"";"";"TRTNO";"";"";"";"";"";"";"";""
"ERNTE.Termin";"OBSERVED_TimeSeries";"ERNTE";"Termin";"Date of harvest";"date";"HADAT";"";"";"";"date";"";"";"";""
"ERNTE.Ganzflaechig";"OBSERVED_TimeSeries";"ERNTE";"Ganzflaechig";"Was the whole field / plot harvested? Yes=1 ; No or sub-areas=0";"boolean";"";"";"";"";"";"";"";"";""
"ERTRAG.Hp_Frischmasse";"OBSERVED_TimeSeries";"ERTRAG";"Hp_Frischmasse";"Fresh matter of the harvested main product, e.g. grains";"dt/ha";"HFAH";"";"";"";"Mg/ha";"";"";"";""
"ERTRAG.Hp_Trockenmasse";"OBSERVED_TimeSeries";"ERTRAG";"Hp_Trockenmasse";"Dry matter of the harvested main product, e.g. grains";"dt/ha";"HWAH";"";"";"";"kg/ha";"";"";"";""
"ERTRAG.Hp_Trockensubstanzgehalt";"OBSERVED_TimeSeries";"ERTRAG";"Hp_Trockensubstanzgehalt";"";"";"";"";"";"";"";"";"";"";""
"ERTRAG.Np_Frischmasse";"OBSERVED_TimeSeries";"ERTRAG";"Np_Frischmasse";"Fresh matter of the harvested by-product, e.g. straw";"dt/ha";"";"";"";"";"";"";"";"";""
"ERTRAG.Np_Trockenmasse";"OBSERVED_TimeSeries";"ERTRAG";"Np_Trockenmasse";"Dry matter of the harvested by-product, e.g. straw";"dt/ha";"BWAH";"";"";"";"kg/ha";"";"";"";""
"ERTRAG.TKG";"OBSERVED_TimeSeries";"ERTRAG";"TKG";"";"";"";"";"";"";"";"";"";"";""
"SORTE.Sorte";"OBSERVED_TimeSeries";"SORTE";"Sorte";"Name of variety";"text";"CUL_ORIG";"";"";"";"text";"";"";"";""
"SORTE.Bsa_Code";"OBSERVED_TimeSeries";"SORTE";"Bsa_Code";"BSA-Code";"code";"";"";"";"";"";"";"";"";""
"Kultur_ID";"OBSERVED_TimeSeries";".";"Kultur_ID";"";"";"";"";"";"";"";"";"";"";""
"BEMERKUNGEN.Bemerkungen";"OBSERVED_TimeSeries";"BEMERKUNGEN";"Bemerkungen";"Contains extra information";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Technik";"OBSERVED_TimeSeries";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"HARM";"";"";"";"code";"list('Kartoffeln Sammelroder: HM999', 'Getreide-Mähdrescher: HM999', 'Feldhäcksler: HM999', 'Blatternte: HM999', 'Zuckerrüben Rodelader Selbstfahrer: HM999')";"";"";""
"TECHNIK.Technik";"OBSERVED_TimeSeries";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"";"";"";"";"";"";"";"";"PLDS=R; PLMA=S; (deducted)"
"TECHNIK.Technik";"OBSERVED_TimeSeries";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"TIIMP";"";"";"";"code";"list('Aufsattelbeetpflug: TI041', 'Kartoffelstriegel: TI014', 'Kreiselegge: TI038', 'Maishacke: TI035', 'Rübenhacke: TI035', 'Walze: TI024', 'Grubber: TI011', 'Scheibenegge: TI008')";"";"";""
"TECHNIK.Technik";"OBSERVED_TimeSeries";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"*cond";"function(df) { if(df$Mineralisch==1, FECD, OMCD }";"df=DUENGUNG";"";"code";"list('Stalldungstreuer: AP001', 'Düngerstreuer: AP001')";"";"";""
"TECHNIK.Technik";"OBSERVED_TimeSeries";"TECHNIK";"Technik";"Name of the machine/agricultural engineering";"text";"CHACD";"";"";"";"code";"list('Pflanzenschutzspritze: AP006')";"";"";""
"TECHNIK.Beschreibung";"OBSERVED_TimeSeries";"TECHNIK";"Beschreibung";"Additional information about the agricultural engineering";"text";"";"";"";"";"";"";"";"";""
"TECHNIK.Arbeitsbreite";"OBSERVED_TimeSeries";"TECHNIK";"Arbeitsbreite";"Working width of the agricultural machine (in m)";"m";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenabstand";"OBSERVED_TimeSeries";"TECHNIK";"Reihenabstand";"Row distance (in cm)";"cm";"";"";"";"";"";"";"";"";""
"TECHNIK.Reihenanzahl";"OBSERVED_TimeSeries";"TECHNIK";"Reihenanzahl";"Number of aggregates, e.g. drill rows per drill equipment";"number";"";"";"";"";"";"";"";"";""
"BODENLABORWERTE.Obergrenze";NA;"BODENLABORWERTE";"Obergrenze";"Upper depth (in cm) of soil sample";"cm";"*ICTL";"";"";"";"cm";"";"";"";""
"BODENLABORWERTE.Termin";NA;"BODENLABORWERTE";"Termin";"Date";"date";"*ICDAT";"";"";"";"date";"";"";"";""
"BODENLABORWERTE.Untergrenze";NA;"BODENLABORWERTE";"Untergrenze";"Lower depth (in cm) of soil sample";"cm";"*ICBL";"";"";"";"cm";"";"";"";""
"ERNTE.Stroh_von_der_Parzelle_entfernt";NA;"ERNTE";"Stroh_von_der_Parzelle_entfernt";"Straw removed from the plot";"boolean";"";"";"";"";"";"";"";"";""
"ERTRAG.Tausendkornmasse";NA;"ERTRAG";"Tausendkornmasse";"Mass of 1000 grains in gram";"g";"";"";"";"";"";"";"";"";""
"AUSSAAT.Saatstaerke_Anzahl";NA;"AUSSAAT";"Saatstaerke_Anzahl";"Seeding rate, total number of seeds per area";"number/ha";"";"";"";"";"";"";"";"";""
"DU_ID";NA;".";"DU_ID";"";"";"*cond";"function(df) { if(df$Mineralisch==1, FE, OM }";"df=DUENGUNG";"";"";"";"";"";"Change as a function of crop? function(df){ if(df$CRID %in% c(), , ) }"
"DUENGUNG.Frischmasse";NA;"DUENGUNG";"Frischmasse";"Mass of applied fresh organic fertilizer (dt/ha)";"dt/ha";"OMFWT";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Gesamt_Stickstoff";NA;"DUENGUNG";"Gesamt_Stickstoff";"Mass of total nitrogen (kg per hectare, pure nutrient) which was applied to the plot with organic and mineral fertilizer";"kg/ha";"";"";"";"";"";"";"";"";""
"DUENGUNG.Kalium_In_Frischmasse";NA;"DUENGUNG";"Kalium_In_Frischmasse";"Potassium content (%) in fresh matter of the organic fertilizer";"%";"";"";"";"";"";"";"";"";""
"DUENGUNG.Kalium_In_Trockenmasse";NA;"DUENGUNG";"Kalium_In_Trockenmasse";"Potassium content (%) in dry matter of the organic fertilizer";"%";"OMK%";"";"";"";"%";"";"";"";""
"DUENGUNG.Magnesium";NA;"DUENGUNG";"Magnesium";"Amount of magnesium (kg per hectare, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMM";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Magnesium_In_Frischmasse";NA;"DUENGUNG";"Magnesium_In_Frischmasse";"Magnesium content (%) in fresh matter of the organic fertilizer";"%";"";"";"";"";"";"";"";"";""
"DUENGUNG.Magnesium_In_Trockenmasse";NA;"DUENGUNG";"Magnesium_In_Trockenmasse";"Magnesium content (%) in dry matter of the organic fertilizer";"%";"";"";"";"";"";"";"";"";""
"DUENGUNG.Masse_mineralisch";NA;"DUENGUNG";"Masse_mineralisch";"Mass of applied mineral fertilizer";"dt/ha";"FEAM";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Mineralisch";NA;"DUENGUNG";"Mineralisch";"If value =1 mineral fertilizer was applied to the trial area";"boolean";"";"";"";"";"";"";"";"";""
"DUENGUNG.Organisch";NA;"DUENGUNG";"Organisch";"If value =1 organic fertilizer was applied to the trial area";"boolean";"";"";"";"";"";"";"";"";""
"DUENGUNG.Phoshor_In_Frischmasse";NA;"DUENGUNG";"Phoshor_In_Frischmasse";"Phosphorus content (%) in fresh matter of the organic fertilizer";"%";"";"";"";"";"";"";"";"";""
"DUENGUNG.Phosphor_In_Trockenmasse";NA;"DUENGUNG";"Phosphor_In_Trockenmasse";"Phosphorus content (%) in dry matter of the organic fertilizer";"%";"OMP%";"";"";"";"%";"";"";"";""
"DUENGUNG.Schwefel";NA;"DUENGUNG";"Schwefel";"Amount of sulfur (kg per hectare, pure nutrient) which was applied to the plot with mineral fertilizer";"kg/ha";"FEAMS";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Stickstoff_In_Frischmasse";NA;"DUENGUNG";"Stickstoff_In_Frischmasse";"Nitrogen content (%) in fresh matter of the organic fertilizer";"%";"";"";"";"";"";"";"";"";""
"DUENGUNG.Stickstoff_In_Trockenmasse";NA;"DUENGUNG";"Stickstoff_In_Trockenmasse";"Nitrogen content (%) in dry matter of the organic fertilizer";"%";"OMN%";"";"";"";"%";"";"";"";""
"DUENGUNG.Stroh_auf_der_Parzelle_verblieben";NA;"DUENGUNG";"Stroh_auf_der_Parzelle_verblieben";"Straw remained on the plot";"boolean";"";"";"";"";"";"";"";"";""
"DUENGUNG.Trockenmasse";NA;"DUENGUNG";"Trockenmasse";"Mass of applied dried organic fertilizer (minus the mass of water, in decitons per hectare)";"dt/ha";"OMAMT";"";"";"";"kg/ha";"";"";"";""
"DUENGUNG.Trockensubstanz";NA;"DUENGUNG";"Trockensubstanz";"Proportion of dry organic matter of total fresh matter in organic fertilizer (%)";"%";"";"";"";"";"";"";"";"";""
"KLIMADATEN.Himmel";NA;"KLIMADATEN";"Himmel";"Description of the sky";"text";"";"";"";"";"";"";"";"";""
"KLIMADATEN.Luftfeuchte";NA;"KLIMADATEN";"Luftfeuchte";"Average relative humidity (day)";"%";"RHAVD";"";"";"";"%";"";"";"";""
"KLIMADATEN.Niederschlag_Summe";NA;"KLIMADATEN";"Niederschlag_Summe";"Sum of precipitation per day (in mm)";"mm";"RAIN";"";"";"";"mm";"";"";"";""
"KLIMADATEN.Partialdruck";NA;"KLIMADATEN";"Partialdruck";"Average vapor pressure (day)";"";"VPRSD";"";"";"";"kPa";"";"";"";""
"KLIMADATEN.Sonnenstunden";NA;"KLIMADATEN";"Sonnenstunden";"Hours of sunshine per day";"h";"DAYD";"";"";"";"h";"";"";"";""
"KLIMADATEN.T_Max_2m";NA;"KLIMADATEN";"T_Max_2m";"Maximum daily temperature in 2 m height (day)";"degree_C";"TMAX";"";"";"";"degree_C";"";"";"";""
"KLIMADATEN.T_Min_2m";NA;"KLIMADATEN";"T_Min_2m";"Minimum daily temperature in 2 m height (day)";"degree_C";"TMIN";"";"";"";"degree_C";"";"";"";""
"KLIMADATEN.T_Min_5cm";NA;"KLIMADATEN";"T_Min_5cm";"Average daily temperature on ground level (5cm)";"degree_C";"";"";"";"";"degree_C";"";"";"";""
"KLIMADATEN.T_Mit_2m";NA;"KLIMADATEN";"T_Mit_2m";"Average day temperature in 2 m height";"degree_C";"TAVD";"";"";"";"degree_C";"";"";"";""
"KLIMADATEN.Termin";NA;"KLIMADATEN";"Termin";"Date";"date";"W_DATE";"";"";"";"date";"";"";"";""
"KLIMADATEN.Wind";NA;"KLIMADATEN";"Wind";"Average wind velocity (day)";"";"WIND";"";"";"";"km/d";"";"";"";""
"PFLANZENLABORWERTE.Bruehe";NA;"PFLANZENLABORWERTE";"Bruehe";"Mixture of water and plant protection and/or fertilizer as used by sprayers";"boolean";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Ec_Code";NA;"PFLANZENLABORWERTE";"Ec_Code";"EC-Code";"code";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Entwicklungsstadium";NA;"PFLANZENLABORWERTE";"Entwicklungsstadium";"Name of plant growing stage";"text";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Entwicklungsstadium_Beschreibung";NA;"PFLANZENLABORWERTE";"Entwicklungsstadium_Beschreibung";"Description of plant growing stage";"text";"";"";"";"";"";"";"";"";""
"PFLANZENLABORWERTE.Termin";NA;"PFLANZENLABORWERTE";"Termin";"Date";"date";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Person_Nachname";NA;"PFLANZENSCHUTZ";"Person_Nachname";"Family name";"text";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Person_Vorname";NA;"PFLANZENSCHUTZ";"Person_Vorname";"First Name";"text";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Pflanzenschutzmittel_Zulassungsnummer";NA;"PFLANZENSCHUTZ";"Pflanzenschutzmittel_Zulassungsnummer";"Authorisation Numbers (BVL) for plant protection products in Germany";"code";"";"";"";"";"";"";"";"";""
"PFLANZENSCHUTZ.Tankmischung";NA;"PFLANZENSCHUTZ";"Tankmischung";"Was the plant protection mixed within the container? Yes=1 ; No=0";"boolean";"";"";"";"";"";"";"";"";""
"DU_ID";NA;".";"DU_ID";"";"";"";"";"";"";"";"";"";"";""
"FRUCHTFOLGE.Fruchtfolge1";NA;"FRUCHTFOLGE";"Fruchtfolge1";"chronological sequence of crop species grown on an agricultural land in the course of the growing season and years";"";"";"";"";"";"";"";"";"";""
"FRUCHTFOLGE.FruchtfolgeX";NA;"FRUCHTFOLGE";"FruchtfolgeX";"chronological sequence of crop species grown on an agricultural land in the course of the growing season and years";"";"";"";"";"";"";"";"";"";""
"PARZELLE.Parzelle";NA;"PARZELLE";"Parzelle";"Plot number or name on the trial area";"text";"";"";"";"";"";"";"";"";""
"PARZELLE.Wiederholung";NA;"PARZELLE";"Wiederholung";"Name of replication";"";"";"";"";"";"";"";"";"";""
"SAAT_PFLANZGUT.Anbaustufe";NA;"SAAT_PFLANZGUT";"Anbaustufe";"Name of seed certificate";"text";"";"";"";"";"";"";"";"";""
"SAAT_PFLANZGUT.Anbaustufe_Beschreibung";NA;"SAAT_PFLANZGUT";"Anbaustufe_Beschreibung";"Description of seed certificate";"text";"";"";"";"";"";"";"";"";""
"SAAT_PFLANZGUT.Keimfaehigkeit";NA;"SAAT_PFLANZGUT";"Keimfaehigkeit";"Germination rate of seeds";"ratio";"PLG%";"";"";"";"%";"";"";"";""
"SAAT_PFLANZGUT.Reinheit";NA;"SAAT_PFLANZGUT";"Reinheit";"Purity of seeds in per cent";"%";"";"";"";"";"";"";"";"";""
"SAAT_PFLANZGUT.Zwischenfrucht";NA;"SAAT_PFLANZGUT";"Zwischenfrucht";"Cultivation as catch crop";"boolean";"";"";"";"";"";"";"";"";""
