section,dssat_header,icasa_headers
SOIL_header,PEDON,SOIL_ID
SOIL_header,SOURCE,SL_SOURCE
SOIL_header,TEXTURE,SLTX
SOIL_header,DEPTH,SLDP
SOIL_header,DESCRIPTION,SL_NOTES
SOIL_header,SITE,SOIL_SITE
SOIL_header,COUNTRY,SL_LOC_1
SOIL_header,LAT,SOIL_LAT
SOIL_header,LONG,SOIL_LONG
SOIL_header,SCSï¿½FAMILY,
SOIL_header,SCOM,SSCOL
SOIL_header,SALB,SALB
SOIL_header,SLU1,SLU1
SOIL_header,SLDR,SLDR
SOIL_header,SLRO,SLRO
SOIL_header,SLNF,SLNF
SOIL_header,SLPF,SLPF
SOIL_header,SMHB,SMHB
SOIL_header,SMPX,SMPX
SOIL_header,SMKE,SMKE
SOIL_layers,SLB,SLLB
SOIL_layers,SLMH,SLMH
SOIL_layers,SLLL,SLLL
SOIL_layers,SDUL,SLDUL
SOIL_layers,SSAT,SLSAT
SOIL_layers,SRGF,SLRGF
SOIL_layers,SSKS,SKSAT
SOIL_layers,SBDM,SLBDM
SOIL_layers,SLOC,SLOC
SOIL_layers,SLCL,SLCLY
SOIL_layers,SLSI,SLSIL
SOIL_layers,SLCF,SLCF
SOIL_layers,SLNI,SLNI
SOIL_layers,SLHW,SLPHW
SOIL_layers,SLHB,SLPHB
SOIL_layers,SCEC,SLCEC
SOIL_layers,SADC,SLADC
